text,author,mood,category
"Joy is the echo of a heart that refuses to stop singing.","ChatGPT","happy","inspirational"
"Happiness blooms where you choose to plant it.","ChatGPT","happy","inspirational"
"Love is the thread that weaves happiness into the fabric of life.","ChatGPT","happy","love"
"A smile is love's simplest gift, given freely and returned abundantly.","ChatGPT","happy","love"
"Happiness is finding the humor in life's little hiccups.","ChatGPT","happy","humor"
"A laugh a day keeps the grumpiness away.","ChatGPT","happy","humor"
"True happiness is a state of mind, not a state of circumstances.","ChatGPT","happy","wisdom"
"Contentment is the key to a joyful life; happiness is the door.","ChatGPT","happy","wisdom"
"In the deepest sorrow lies the seed of tomorrow's joy.","ChatGPT","sad","inspirational"
"Even the darkest clouds can't dim the sun's eventual return.","ChatGPT","sad","inspirational"
"The pain of love lost is the proof of love deeply felt.","ChatGPT","sad","love"
"Every tear shed for love is a testament to its power.","ChatGPT","sad","love"
"Even in sadness, a little humor can light the way.","ChatGPT","sad","humor"
"Laughter through tears is the bravest form of healing.","ChatGPT","sad","humor"
"Sadness is the soul’s way of reminding us what truly matters.","ChatGPT","sad","wisdom"
"Grief is love's shadow, ever-present, but a sign of something once bright.","ChatGPT","sad","wisdom"
"In the chaos of stress, find the calm within yourself.","ChatGPT","stressed","inspirational"
"Stress is the pressure that molds you into something stronger.","ChatGPT","stressed","inspirational"
"In the busiest moments, love is the breath that keeps you going.","ChatGPT","stressed","love"
"Even in stress, love finds a way to ease the mind.","ChatGPT","stressed","love"
"Stressed spelled backwards is desserts, so take a break and treat yourself!","ChatGPT","stressed","humor"
"When life gives you stress, make stress-lemonade.","ChatGPT","stressed","humor"
"Stress is a visitor; let it come and go, but never let it stay.","ChatGPT","stressed","wisdom"
"In the midst of stress, pause and let the world slow down with you.","ChatGPT","stressed","wisdom"
"Your potential is the spark; your actions are the flame.","ChatGPT","motivated","inspirational"
"Greatness isn’t a gift; it’s the result of relentless effort.","ChatGPT","motivated","inspirational"
"Let love be the fuel that drives your ambitions forward.","ChatGPT","motivated","love"
"Motivation powered by love knows no limits.","ChatGPT","motivated","love"
"Why wait for Monday? Start chasing your dreams on a Tuesday!","ChatGPT","motivated","humor"
"Motivation is like coffee; a little humor makes it even better.","ChatGPT","motivated","humor"
"Success is the sum of small efforts, repeated daily.","ChatGPT","motivated","wisdom"
"The path to greatness is paved with moments of motivation.","ChatGPT","motivated","wisdom"
